title,video id,youtube url,filename,tags,primary_movement_pattern
Nowercise Bands Frontal Raises,JKUy1Sd-SFs,https://www.youtube.com/watch?v=JKUy1Sd-SFs,,"Push, ['band']",Push
Ab Wheel Iso,gyhdObhnxjw,https://www.youtube.com/watch?v=gyhdObhnxjw,,"Core, ['Uncategorized']",Core
Alternating Goblet Reverse Lunge With Blocked Knee,mJ1QsjZpw10,https://www.youtube.com/watch?v=mJ1QsjZpw10,,"Squat, ['lower body']",Squat
Adductor Mobilization,mKKPXUWDDFo,https://www.youtube.com/watch?v=mKKPXUWDDFo,,"Accessory, ['Uncategorized']",Accessory
Ab Wheel Iso,oYanDivdClU,https://www.youtube.com/watch?v=oYanDivdClU,,"Core, ['Uncategorized']",Core
Ab Wheel Rollout,qFp5JzdquAI,https://www.youtube.com/watch?v=qFp5JzdquAI,,"Core, ['Uncategorized']",Core
Alternating Dumbell Split Jump,s8jLKMCYriM,https://www.youtube.com/watch?v=s8jLKMCYriM,,"Locomotion, ['cardio']",Locomotion
Nowercise Club Welcome Video,ufM9ohj1P_M,https://www.youtube.com/watch?v=ufM9ohj1P_M,,['Uncategorized'],
Nowercise Bands Static Lunge,yWBiy_88OOk,https://www.youtube.com/watch?v=yWBiy_88OOk,,"'lower body'], Squat, ['band'",Squat
Nowercise Bands Bicep Curl,zG012FFdTTM,https://www.youtube.com/watch?v=zG012FFdTTM,,"'band'], Pull, ['upper body', arm",Pull
App Explainer For Reg_210225,zkMNhKFojv0,https://www.youtube.com/watch?v=zkMNhKFojv0,,['Uncategorized'],
90/90 Wall Balloon-Breathing,fwOUp7Jku0w,https://www.youtube.com/watch?v=fwOUp7Jku0w,,['Uncategorized'],
Nowercise Club Gentle Session 1,LssQd26hyu4,https://www.youtube.com/watch?v=LssQd26hyu4,,['gentle'],
Ab Wheel Rollout,R3jbna-ytkk,https://www.youtube.com/watch?v=R3jbna-ytkk,,"Core, ['Uncategorized']",Core
Alternating Barbell Split Jump,RtkM_vVZh-A,https://www.youtube.com/watch?v=RtkM_vVZh-A,,"Locomotion, ['cardio']",Locomotion
Nowercise Club Intro For Gentle Session,VrS2VlYuLHE,https://www.youtube.com/watch?v=VrS2VlYuLHE,,['gentle'],
Alternating Lateral Lunge Walk,XoKx8eQMElQ,https://www.youtube.com/watch?v=XoKx8eQMElQ,,"Squat, ['lower body']",Squat
Alternating Barbell Split Jump,Y9ASJT-UDNo,https://www.youtube.com/watch?v=Y9ASJT-UDNo,,"Locomotion, ['cardio']",Locomotion
Adductor Mobilization,_LFqmZHQL2g,https://www.youtube.com/watch?v=_LFqmZHQL2g,,"Accessory, ['Uncategorized']",Accessory
Alternating Dumbbell Bench Press,_zbZ-l_Mat8,https://www.youtube.com/watch?v=_zbZ-l_Mat8,,"Push, ['upper body'], upper body",Push
Alternating Bodyweight Split Jump,a91-Vu1u_dI,https://www.youtube.com/watch?v=a91-Vu1u_dI,,"Locomotion, ['cardio']",Locomotion
Alternating Goblet Reverse Lunge With Blocked Knee,EFT7AwCpc4I,https://www.youtube.com/watch?v=EFT7AwCpc4I,,"Squat, ['lower body']",Squat
Alternating Dumbbell Curl,-skLK9YSRus,https://www.youtube.com/watch?v=-skLK9YSRus,,"Pull, ['Uncategorized'], arm",Pull
Alternating Dumbbell Curl,0tNGXZleg24,https://www.youtube.com/watch?v=0tNGXZleg24,,"Pull, ['Uncategorized'], arm",Pull
Nowercise Bands Lateral Raises,3tPQv-adXCA,https://www.youtube.com/watch?v=3tPQv-adXCA,,['band'],
Nowercise Bands Squats,59vBG3vXctI,https://www.youtube.com/watch?v=59vBG3vXctI,,"'lower body'], Squat, ['band'",Squat
Alternating Bodyweight Split Jump,5UXjsnmrgwE,https://www.youtube.com/watch?v=5UXjsnmrgwE,,"Locomotion, ['cardio']",Locomotion
Alternating Dumbell Split Jump,7cVPUk8dXq4,https://www.youtube.com/watch?v=7cVPUk8dXq4,,"Locomotion, ['cardio']",Locomotion
PDF of Nowercise Club Gentle Session2 Deck Presentation,8kKn1NxX1OI,https://www.youtube.com/watch?v=8kKn1NxX1OI,,['gentle'],
Nowercise Bands Chest Press,FU4aRI0mL5w,https://www.youtube.com/watch?v=FU4aRI0mL5w,,"'band'], Push, ['upper body', upper body",Push
Alternating Dumbbell Bench Press,Ho8fA1ju0J0,https://www.youtube.com/watch?v=Ho8fA1ju0J0,,"Push, ['upper body'], upper body",Push
Assisted Reverse Lunge With Blocked Knee,ajHqeSS54n4,https://www.youtube.com/watch?v=ajHqeSS54n4,,"Squat, ['lower body']",Squat
Assisted Lateral Squat,hTsWrA9PSHA,https://www.youtube.com/watch?v=hTsWrA9PSHA,,"Squat, ['lower body']",Squat
Band Press-Down,amC_ncSPjZY,https://www.youtube.com/watch?v=amC_ncSPjZY,,"'band'], Push, ['upper body', upper body",Push
Band Stomp,bFufUNtLqUw,https://www.youtube.com/watch?v=bFufUNtLqUw,,['band'],
Assisted Bodyweight Squat to Box,e51lkr3K20M,https://www.youtube.com/watch?v=e51lkr3K20M,,"Squat, ['lower body']",Squat
Band-Assisted Inverted Row,eOCUW63XeO8,https://www.youtube.com/watch?v=eOCUW63XeO8,,"'band'], Pull, ['upper body', arm",Pull
Band Pull-Apart,liaxBZIdP7g,https://www.youtube.com/watch?v=liaxBZIdP7g,,"'band'], Pull, ['upper body', arm",Pull
Band-Assisted Pull-Up,nWUU6LfApv0,https://www.youtube.com/watch?v=nWUU6LfApv0,,"'band'], Pull, ['upper body', arm",Pull
Band-Resisted Glute Bridge,MhhC2E1zZ_E,https://www.youtube.com/watch?v=MhhC2E1zZ_E,,"'lower body'], Hinge, ['band'",Hinge
