Exercise name (match DB),Video URL (optional),Phase,Stage (optional),Type,Region,Intensity tier,Equipment,Lymph-safe,Post-op shoulder safe,Notes (symptom mods / cues),Movement Pattern,Balance Demand
Pendulum arm swings,https://vz-dce84f4b-c3a.b-cdn.net/c3f66263-86a7-49a9-9ae5-e3071de16709/playlist.m3u8,ALL,EARLY,MOBILITY,UPPER,VERY_LOW,NONE,YES,YES,Arm hangs heavy; movement from gentle body sway; small range.,MOBILITY_UPPER,LOW
Table slides,https://vz-dce84f4b-c3a.b-cdn.net/3e38e16b-d732-43e0-8e1c-e4c18918993e/playlist.m3u8,ALL,EARLY,MOBILITY,UPPER,VERY_LOW,WALL,YES,YES,"Slide to first stretch, not pain; smooth tempo.",MOBILITY_UPPER,LOW
Gentle elbow bend & extend,https://vz-dce84f4b-c3a.b-cdn.net/1a542484-8ab3-41ed-9c8e-3a9e3c049ea0/playlist.m3u8,ALL,EARLY,MOBILITY,UPPER,VERY_LOW,NONE,YES,YES,"Shoulder relaxed; slow, comfortable range.",MOBILITY_UPPER,LOW
Tiny-range shoulder blade squeeze,https://vz-dce84f4b-c3a.b-cdn.net/bee4d020-cf80-4081-bf18-5318e25a842c/playlist.m3u8,ALL,EARLY,MOBILITY,UPPER,VERY_LOW,NONE,YES,YES,Think small; shoulders down; no shrugging.,PULL_LIGHT,LOW
Lying Long Exhale Breathing,https://vz-dce84f4b-c3a.b-cdn.net/9cf60bb6-3706-4fb1-bada-e131d4d7b665/playlist.m3u8,ALL,EARLY,BREATHING,BREATHING,VERY_LOW,NONE,YES,YES,In through nose; longer exhale; let floor support you.,BREATH,LOW
Sit to Stand,https://vz-dce84f4b-c3a.b-cdn.net/c6744511-ff78-4727-99bd-b466ae48810a/playlist.m3u8,ALL,EARLY,STRENGTH,LOWER,LOW,CHAIR,YES,YES,Use chair height that feels safe; slow control both ways; push through feet not arms if possible; stop if dizzy; on fatigue days reduce reps not depth.,SQUAT,MODERATE
Seated Knee Lifts,https://vz-dce84f4b-c3a.b-cdn.net/6dd658d3-6ee1-4315-9e17-1c83bb8536ee/playlist.m3u8,ALL,EARLY,MOBILITY,LOWER,LOW,CHAIR,YES,YES,"Lift only as high as comfortable; keep spine tall; slow rhythm; if abdominal strain or nausea, make movement smaller or alternate legs slower.",CORE_LIGHT,LOW
Seated Heel Raises,https://vz-dce84f4b-c3a.b-cdn.net/8c51f170-f949-4545-89e7-348577695310/playlist.m3u8,ALL,EARLY,STRENGTH,LOWER,LOW,CHAIR,YES,YES,"Press through balls of feet; slow up and down; helps circulation; if cramping, reduce height; avoid bouncing.",CALF,LOW
Seated Arm Raises,https://vz-dce84f4b-c3a.b-cdn.net/5b8f07f5-4a0c-4af7-869a-27fe5b3aa098/playlist.m3u8,ALL,EARLY,MOBILITY,UPPER,LOW,CHAIR,YES,YES,Lift only to pain-free height; shoulders relaxed; avoid shrugging; small range OK post-op; lower slowly.,PUSH_LIGHT,LOW
Seated Shoulder Shrugs,https://vz-dce84f4b-c3a.b-cdn.net/351fb83d-dd6a-41c4-ad5c-88632ea2bda6/playlist.m3u8,ALL,EARLY,MOBILITY,UPPER,LOW,CHAIR,YES,YES,"Lift shoulders gently toward ears, slow release; do not force; good for tension relief; keep breathing smooth.",MOBILITY_UPPER,LOW
