Exercise name (match DB),Video URL (optional),Phase,Stage (optional),Type,Region,Intensity tier,Equipment,Lymph-safe,Post-op shoulder safe,Notes (symptom mods / cues),Movement Pattern
Pendulum arm swings,,ALL,EARLY,MOBILITY,UPPER,VERY_LOW,NONE,YES,YES,Arm hangs heavy; movement from gentle body sway; small range.,MOBILITY_UPPER
Wall/table slides,,ALL,EARLY,MOBILITY,UPPER,VERY_LOW,WALL,YES,YES,"Slide to first stretch, not pain; smooth tempo.",MOBILITY_UPPER
Gentle elbow bend/extend,,ALL,EARLY,MOBILITY,UPPER,VERY_LOW,NONE,YES,YES,"Shoulder relaxed; slow, comfortable range.",MOBILITY_UPPER
Tiny-range shoulder blade squeeze,,ALL,EARLY,MOBILITY,UPPER,VERY_LOW,NONE,YES,YES,Think small; shoulders down; no shrugging.,PULL_LIGHT
Guided long-exhale breathing (lying),,ALL,EARLY,BREATHING,BREATHING,VERY_LOW,NONE,YES,YES,In through nose; longer exhale; let floor support you.,BREATH
Sit to Stand,https://youtu.be/8dlx3nDGfqM,ALL,EARLY,STRENGTH,LOWER,LOW,CHAIR,YES,YES,Use chair height that feels safe; slow control both ways; push through feet not arms if possible; stop if dizzy; on fatigue days reduce reps not depth.,SQUAT
Seated Knee Lifts,https://youtu.be/4kDmdnwD1gE,ALL,EARLY,MOBILITY,LOWER,LOW,CHAIR,YES,YES,"Lift only as high as comfortable; keep spine tall; slow rhythm; if abdominal strain or nausea, make movement smaller or alternate legs slower.",CORE_LIGHT
Seated Heel Raises,https://youtu.be/xqwTKnX9EOk,ALL,EARLY,STRENGTH,LOWER,LOW,CHAIR,YES,YES,"Press through balls of feet; slow up and down; helps circulation; if cramping, reduce height; avoid bouncing.",CALF
Seated Arm Raises,https://youtu.be/FLLL_IESIfw,ALL,EARLY,MOBILITY,UPPER,LOW,CHAIR,YES,YES,Lift only to pain-free height; shoulders relaxed; avoid shrugging; small range OK post-op; lower slowly.,PUSH_LIGHT
Seated Shoulder Shrugs,https://youtu.be/bdF69YHsQXQ,ALL,EARLY,MOBILITY,UPPER,LOW,CHAIR,YES,YES,"Lift shoulders gently toward ears, slow release; do not force; good for tension relief; keep breathing smooth.",MOBILITY_UPPER
Seated Torso Twists,https://youtu.be/mX0J1o2uGHQ,ALL,EARLY,MOBILITY,CORE,LOW,CHAIR,YES,YES,Small rotation; move from upper back not low back; stay pain-free; exhale as you turn; avoid holding breath.,CORE_ROTATION
Wall Push Ups,https://youtu.be/vf8_Laa_Mp0,ALL,EARLY,STRENGTH,UPPER,LOW,WALL,YES,YES,"Body straight, slow tempo; step closer for easier; elbows soft; stop if shoulder pain; reduce depth on fatigue days.",PUSH
Glute Bridge,,ALL,EARLY,STRENGTH,LOWER,LOW,NONE,YES,YES,"Feet hip-width; squeeze gently, not maximal; lift only to comfortable height; avoid breath holding; if back discomfort, make lift smaller.",HINGE
Step-Up (low),,ALL,EARLY,STRENGTH,LOWER,LOW,STEP,YES,YES,Use low step; slow control; hold support if needed; lead with stronger leg on hard days; stop if knee pain.,STEP
Resistance Band Row,,ALL,EARLY,STRENGTH,UPPER,LOW,BAND,YES,YES,Light band; squeeze shoulder blades gently; keep shoulders down; small range post-op; stop before fatigue affects form.,PULL
Bodyweight Squat to Chair,,ALL,MID,STRENGTH,LOWER,MODERATE,CHAIR,YES,YES,"Control down, light touch to chair; push through heels; stop if knee pain; reduce depth on fatigue days.",SQUAT
Standing March,,ALL,MID,STRENGTH,CORE,LOW,NONE,YES,YES,Lift knees only to comfortable height; tall posture; slow rhythm; good for balance; hold support if needed.,CORE_STABILITY
Light Carry (Farmer Carry Light),,POST_TREATMENT,MID,STRENGTH,FULL_BODY,MODERATE,DUMBBELL,YES,YES,Light weights; shoulders relaxed; walk tall; short distances; stop if grip fatigue or arm heaviness.,CARRY
Mini Lunge (Supported),,ALL,MID,STRENGTH,LOWER,MODERATE,NONE,YES,YES,Small step back; hold support; shallow depth; knee stays over toes; stop if balance feels unsafe.,LUNGE
Band Chest Press,https://youtu.be/JsHCTq0aMI4,POST_TREATMENT,MID,STRENGTH,UPPER,MODERATE,BAND,YES,YES,Light band; press slowly; shoulders down; stop before fatigue alters form; reduce range if post-op tightness.,PUSH
Band Shoulder Press (Light),https://youtu.be/fDUTGty2lE0,POST_TREATMENT,MID,STRENGTH,UPPER,MODERATE,BAND,YES,YES,Light resistance; press only pain-free range; avoid shrugging; stop early if arm heaviness.,PUSH_VERTICAL
Band Pull Apart,https://youtu.be/T3NAQXLDKsk,ALL,MID,STRENGTH,UPPER,LOW,BAND,YES,YES,Light band; squeeze shoulder blades gently; small range OK; slow control; helps posture.,PULL
Heel Raise (Standing),,ALL,MID,STRENGTH,LOWER,MODERATE,NONE,YES,YES,Hold support; slow up/down; improves walking strength; reduce height on fatigue days.,CALF
Hip Hinge (Stick or Light Weight),,POST_TREATMENT,MID,STRENGTH,LOWER,MODERATE,DUMBBELL,YES,YES,Push hips back; neutral spine; small range first; no back strain; slow tempo.,HINGE
Bird Dog,,ALL,MID,STRENGTH,CORE,LOW,NONE,YES,YES,Opposite arm/leg reach; small range; slow control; keep hips level; stop if balance feels unstable.,CORE_STABILITY
Ankle Pumps,,ALL,EARLY,MOBILITY,LOWER,VERY_LOW,NONE,YES,YES,"Feet elevated if comfortable; gently point and flex ankles; slow rhythm; good for swelling, long sitting, travel, chemo fatigue days.",MOBILITY_LOWER
Supported Calf Stretch,,ALL,EARLY,MOBILITY,LOWER,VERY_LOW,"WALL, CHAIR",YES,YES,"Heel down, gentle lean; stretch not strain; steady breathing.",MOBILITY_LOWER
